Wallet_ID,Suspicion_Score,Risk_Level,Reason
W5,50,Medium,"Fan-out pattern detected, Fast consecutive transfers"
W10,50,Medium,"Fan-out pattern detected, Fast consecutive transfers"
W15,50,Medium,"Fan-out pattern detected, Fast consecutive transfers"
W_FANOUT_SRC,50,Medium,"Fan-out pattern detected, Fast consecutive transfers"
W4,40,Medium,Peeling chain detected
W2,40,Medium,Peeling chain detected
W3,40,Medium,Peeling chain detected
W1,40,Medium,Peeling chain detected
W20,40,Medium,Peeling chain detected
W24,40,Medium,Peeling chain detected
W26,40,Medium,Peeling chain detected
W25,40,Medium,Peeling chain detected
W22,40,Medium,Peeling chain detected
W21,40,Medium,Peeling chain detected
W23,40,Medium,Peeling chain detected
W27,40,Medium,Peeling chain detected
W_CYCLE_A,40,Medium,Peeling chain detected
W_CYCLE_B,40,Medium,Peeling chain detected
W_PEEL_3,40,Medium,Peeling chain detected
W_PEEL_4,40,Medium,Peeling chain detected
W_CYCLE_C,40,Medium,Peeling chain detected
W_MULE_6,40,Medium,Peeling chain detected
W_PEEL_2,40,Medium,Peeling chain detected
W_PEEL_1,40,Medium,Peeling chain detected
W_MULE_4,40,Medium,Peeling chain detected
W28,40,Medium,Peeling chain detected
W29,40,Medium,Peeling chain detected
W_MULE_5,40,Medium,Peeling chain detected
W_MULE_2,40,Medium,Peeling chain detected
W_MULE_3,40,Medium,Peeling chain detected
W_MULE_1,40,Medium,Peeling chain detected
W14,30,Low,Fan-in pattern detected
W19,30,Low,Fan-in pattern detected
W_FANIN_DST,30,Low,Fan-in pattern detected
W9,30,Low,Fan-in pattern detected
W6,20,Low,Fast consecutive transfers
W7,20,Low,Fast consecutive transfers
W0,0,Low,Normal behavior
W8,0,Low,Normal behavior
W11,0,Low,Normal behavior
W12,0,Low,Normal behavior
W13,0,Low,Normal behavior
W16,0,Low,Normal behavior
W17,0,Low,Normal behavior
W30,0,Low,Normal behavior
W18,0,Low,Normal behavior
W_PEEL_0,0,Low,Normal behavior
W_PEEL_5,0,Low,Normal behavior
